original,substitution
chard,chardonnay
chardp,chardonnay
chardnay,chardonnay
chardine,chardonnay
chardo,chardonnay
chardmey,chardonnay
chardeny,chardonnay
chardon,chardonnay
chardone,chardonnay
chardonniere,chardonnay
chardney,chardonnay
chardonannay,chardonnay
chardery,chardonnay
chardony,chardonnay
chardany,chardonnay
cab,cabernet sauvignon
sauv,cabernet sauvignon
cabsav,cabernet sauvignon
cab sauvignon,cabernet sauvignon
Cabernet-Merlot,cabernet sauvignon merlot
cabernet,cabernet sauvignon
cabarnet,cabernet sauvignon
cabenet,cabernet sauvignon
zin,zinfandel
zinfand,zinfandel
zinfin,zinfandel
zinfidal,zinfandel
zinfindale,zinfandel
zinfindal,zinfandel
zinfedal,zinfandel
zinvindal,zinfandel
zinfendale,zinfandel
Alvarin Blanco,Albariño
Alvarinho,Albariño
Azal Blanco,Albariño
Cainho Branco,Albariño
Galego,Albariño
Galeguinho,Albariño
Schwarzriesling,Pinot Meunier
Müllerebe,Pinot Meunier
Izkiriota Ttipi,Petit Manseng
Rufeta,Rufete
Tinta Pinheira,Rufete
Tinta Carvalha,Rufete
Escanyavella,Merseguera
Carignano,Carignan
Carignane,Carignan
Mazuelo,Carignan
Cariñena,Carignan
Macabeo,Viura
Bordelesa Zuri,Courbu
Xuri Zerratua,Courbu
Touriga Francesa,Touriga Franca
Kékoportó,Blauer Portugieser
Rotburger,Zweigelt
Zweigeltrebe,Zweigelt
Abouriou,Acolon
Auxerrois,Malbec
Cot,Malbec
Melon de Bourgogne,Muscadet de Bourgogne
Grey Riesling,Trousseau Gris
Rheinriesling,Riesling
Klingelberger,Riesling
Johannisberg Riesling,Riesling
Rolle,Vermentino
Kékfrankos,Blaufränkisch
Gamé,Blaufränkisch
Lemberger,Blaufränkisch
Rivaner,Müller-Thurgau
Sauvignon Gris,Sauvignon Blanc
Clare Riesling,Crouchen
Cape Riesling,Crouchen
Alamís,Pedro Ximénez
Boal,Bual
Brunello,Sangiovese
Syra,Shiraz
Antourenein Noir,Shiraz
Serine,Shiraz
Entournerein,Shiraz
Hignin Noir,Shiraz
Balsamina,Shiraz
Syrac,Shiraz
Syrah,Shiraz
Sirac,Shiraz
Sereine,Shiraz
Schiras,Shiraz
Candive,Shiraz
Marsanne Noir,Shiraz
Cabernet Shiraz,Shiraz
Cabernet/Shiraz,Shiraz
Trousseau,Bastardo
Klein Rauschling,Knipperle
Fetiaska,Fetească Albă
Leànyka,Fetească Albă
Pinot Nero,Pinot Noir
Blauburgunder,Pinot Noir
Spätburgunder,Pinot Noir
Österreicher,Silvaner
Sylvaner,Silvaner
Periquita,Castelão
Xarello,Xarel·lo
Klevener de Heiligenstein,Savagnin
Savagnin Blanc,Savagnin
Traminer,Savagnin
Savagnin Rosé,Savagnin
Braquet,Brachetto
Courtillier Musqué,Huxelrebe
Weisser Gutedel,Huxelrebe
Palomino Fino,Palomino
Monbadon,Burger
Petite Syrah,Durif
Cinsault,Cinsaut
Trollinger,Schiava
Muscadet de Bourgogne,Melon de Bourgogne
Olaszrizling,Welschriesling
Riesling Italico,Welschriesling
Lazki Rizling,Welschriesling
Garnacha,Garnatxa
Grenache,Garnatxa
Cannonau,Garnatxa
Gutedel,Chasselas
Fendant,Chasselas
Ugni Blanc,Trebbiano
Blauer Wildbacher,Wildbacher
Izkiriota Handi,Gros Manseng
Godello,Verdelho
Gouveio,Verdelho
Tinta del Pais,Tempranillo
Cencibel,Tempranillo
Ull de Llebre,Tempranillo
Tinta Roriz,Tempranillo
Pineau de la Loire,Chenin Blanc
Zierfandler,Spätrot
Muscadelle,Muscat
Muscat Blanc,Muscat
Moscatell,Muscat
Muscat Ottonel,Muscat
Muskateller,Muscat
Sauvignon Vert,Muscat
Moscatel Branco,Muscat
Tokay,Muscat
Moscato,Muscat
Moscatel de Málaga,Muscat
Muscat of Alexandria,Muscat
Moscatel de Setúbal,Muscat
Muscat Frontignan,Muscat
Primitivo,Zinfandel
Crljenak Kaštelanski,Zinfandel
Piquepoult,Folle Blanche
Gros Plant,Folle Blanche
Sipon,Furmint
Mosler,Furmint
Mataro,Mourvèdre
Monastrell,Mourvèdre
Trajadura,Treixadura
Cerceal,Sercial
Szürkebarát,Pinot Grigio
Pinot Gris,Pinot Grigio
Preto de Mortágua,Touriga Nacional
Azal Espanhol,Touriga Nacional
Refošk,Refosco
Verdia,Verdiso
Fernão Pires,Maria Gomes
Klevner,Pinot Blanc
Weissburgunder,Pinot Blanc
Pinot Bianco,Pinot Blanc
Macabeu,Macabeo
Alcañón,Macabeo
Viura,Macabeo
Tramini,Gewürztraminer
Valdepeñas,Airén
Gamay Noir,Gamay
Scuppernong,Muscadine
Muscadines,Muscadine
Black Beauty,Muscadine
Carlos,Muscadine
Cowart,Muscadine
Flowers,Muscadine
Fry,Muscadine
Granny Val,Muscadine
Ison,Muscadine
James,Muscadine
Jumbo,Muscadine
Magnolia,Muscadine
Memory,Muscadine
Summit,Muscadine
Supreme,Muscadine
Thomas,Muscadine